Name,Temperature,Humidity
June-14-2023T09-53-47,26.906,80.708
June-14-2023T09-57-26,26.96,80.357
June-14-2023T11-44-58,38.446,47.237
June-14-2023T11-48-37,42.768,39.181
June-14-2023T11-52-16,43.948,36.617
June-14-2023T11-55-55,43.208,37.807
June-14-2023T11-59-35,43.551,37.487
June-14-2023T12-03-14,44.334,37.487
June-14-2023T12-06-53,44.506,37.647
June-14-2023T12-10-32,45.739,36.625
June-14-2023T12-14-11,46.801,35.213
June-14-2023T12-17-51,47.82,33.573
June-14-2023T12-21-30,48.828,32.665
June-14-2023T12-25-09,49.922,31.673
June-14-2023T12-28-48,50.641,31.376
June-14-2023T12-32-27,51.231,30.247
June-14-2023T12-36-06,51.338,30.346
June-14-2023T12-39-45,50.147,31.62
June-14-2023T12-43-24,49.139,32.986
June-14-2023T12-47-04,49.0,33.222
June-14-2023T12-50-43,49.536,32.604
June-14-2023T12-54-22,50.855,31.475
June-14-2023T12-58-01,50.898,30.178
June-14-2023T13-01-40,49.976,30.483
June-14-2023T13-05-19,49.075,31.017
June-14-2023T13-08-58,48.892,30.712
June-14-2023T13-12-38,48.431,31.086
June-14-2023T13-16-17,47.895,31.582
June-14-2023T13-19-56,48.324,31.376
June-14-2023T13-23-35,48.603,31.734
June-14-2023T13-27-14,49.032,32.269
June-14-2023T13-30-53,49.879,31.757
June-14-2023T13-34-32,49.236,31.078
June-14-2023T13-38-12,49.472,32.185
June-14-2023T13-41-51,51.295,31.055
June-14-2023T13-45-30,52.871,29.301
June-14-2023T13-49-09,53.644,28.69
June-14-2023T13-52-48,53.654,28.606
June-14-2023T13-56-27,53.504,28.889
June-14-2023T14-00-06,54.083,28.858
June-14-2023T14-03-46,54.587,27.973
June-14-2023T14-07-25,54.77,28.027
June-14-2023T14-11-04,54.888,27.66
June-14-2023T14-14-43,54.738,27.859
June-14-2023T14-18-22,53.483,28.973
June-14-2023T14-22-01,53.097,29.026
June-14-2023T14-25-41,51.917,30.01
June-14-2023T14-29-20,50.759,31.666
June-14-2023T14-32-59,49.75,32.703
June-14-2023T14-36-38,49.375,32.963
June-14-2023T14-40-17,50.716,31.124
June-14-2023T14-43-57,50.255,31.162
June-14-2023T14-47-36,49.118,32.444
June-14-2023T14-51-15,49.729,31.826
June-14-2023T14-54-54,49.965,30.941
June-14-2023T14-58-33,50.759,30.415
June-14-2023T15-02-13,49.879,30.132
June-14-2023T15-05-52,47.369,32.284
June-14-2023T15-09-31,46.404,33.237
June-14-2023T15-13-10,45.546,35.0
June-14-2023T15-16-49,44.463,36.213
June-14-2023T15-20-29,44.592,36.297
June-14-2023T15-24-08,43.819,37.266
June-14-2023T15-27-47,42.801,38.83
June-14-2023T15-31-26,43.101,38.799
June-14-2023T15-35-06,43.508,38.586
June-14-2023T15-38-45,44.227,38.052
June-14-2023T15-42-24,44.989,37.418
June-14-2023T15-46-03,45.096,37.617
June-14-2023T15-49-43,46.393,36.839
June-14-2023T15-53-22,48.828,32.749
